id;adresse_email;code_statut;date_statut;code_usage_email
26a01460-f9f8-4d76-a563-5fb991f2d834;everlasting phew;huzzah;2025-04-10;oof alongside micromanage
ad8d3667-6e5b-47fb-887c-e3b9d31b8a95;finally certainly access;although once mothball;2025-04-10;evince
cc315743-2ee3-48bb-a87d-53c132dfb420;now flash until;unexpectedly;2025-04-09;sizzle atop fraternise
ed7d6178-de69-4cd7-af6b-00df2835906c;among cultivated dial;uh-huh;2025-04-10;atomize
3802e652-e1bd-4fee-a013-c558b5238a44;spirit;but;2025-04-10;sandy
68c261a4-4501-4146-a748-01d9c083e38b;voluminous failing;helpfully fiercely furthermore;2025-04-10;deduce
0de27251-1e88-4fe1-97ac-591bcc4caff0;netsuke lotion;doubtfully gosh strident;2025-04-09;gazebo
4d3fd404-7e8f-4f91-b2ab-6bd2e0e56577;shakily;as unkempt;2025-04-09;through
7d837190-896c-4a99-81ca-c1facfd7e657;under;accomplished;2025-04-09;fort equally
9edffbbd-8290-49b3-86f4-79c8837c6ff7;dependable soggy aside;zowie often;2025-04-09;versus
