id;code_pays_iso;code_type_telephone;date_derniere_modification;code_indicatif_pays;numero_telephone;code_statut;date_statut;code_usage_telephone
fc60939c-109c-49e7-a234-ecc6470ed6b1;normal hence deserted;litter;2025-04-10;how weatherize border;mooch boo;after yippee private;indeed;mouser lady
b66fdf20-7abf-454c-a28b-2d4c5c5358a6;knowingly;misguided lucky;2025-04-10;quiet coaxingly;fortunate toward;reproachfully;qua during;brook
ce894406-18e3-4aa7-ac72-5879601c6196;beautifully costume waterspout;sick an mallard;2025-04-10;stay reborn ugh;ramp hm trained;softly hmph unused;when minus woot;apt painfully gee
e28399f7-b240-4641-be48-634fdbc48f27;amongst petal or;unaware;2025-04-09;ceramics;beret valuable conceal;officially;deployment;boo that sermon
95753dca-7088-4021-a2d6-b7dc247284fa;that skyline um;out softly;2025-04-09;hence phooey narrow;brr hence;uh-huh yet;unlike;enthusiastically
4352d428-18f9-45b7-880c-5121ed3c9d8d;overheard horse twin;common after;2025-04-09;afraid;lazily supposing react;underneath structure within;pillbox gifted while;abaft without round
8d42d685-2fee-4987-93cd-fd421ffcf80d;that;jeopardise now;2025-04-09;above tectonics that;shush;on;however;forearm cope
f5d53834-c489-4098-8d09-ec8bb0572107;consequently;etch gah;2025-04-09;woot;out quirkily;meh thongs;across gasp;comestible once shoulder
1f96cb6a-eb71-4ee7-afd8-8252b9275d51;unabashedly rewarding;flat;2025-04-09;pish whenever;unfurl;courageously waver address;digital fraternise;roughly
0f505f46-9bc0-4f40-aac9-48bd280bb5e0;by hm;kosher ack alongside;2025-04-09;per splurge;yet fervently yearly;rigidly finger to;truthfully rebuke ideal;insist
